id	name	lyric	region	topic
10	乌苏里船歌	啊朗赫呢哪 啊朗赫呢哪（回声） 啊朗赫赫呢哪 赫雷赫赫呢哪 啊朗赫呢哪 赫雷 给根 乌苏里江来长又长 蓝蓝的江水起波浪 赫哲人撒开千张网 船儿满江鱼满舱 啊朗赫拉赫呢哪雷呀 赫啦哪呢赫呢哪 白云飘过大顶子山 金色的阳光照船帆 紧摇桨来掌稳舵 赫哲族图腾 赫哲族图腾 双手赢得丰收年 啊朗赫拉赫呢哪雷呀 赫啦哪呢赫呢哪 白桦林里人儿笑 笑开了满山红杜鹃 赫哲人走上幸福路 人民的江山万万年 啊朗赫呢哪 啊朗赫呢哪（回声） 啊朗赫赫呢哪 赫雷赫赫呢哪 啊朗赫赫呢哪 赫雷 给根	东北	山歌
11	小拜年	正月里来是新年儿呀啊， （大年）初一头一天呀啊， 家家户户团圆会呀啊， 少的给老的拜年呀啊， 也不论那男和女呀 诶呦呦呦呦呦诶呦呦， 都把那新衣服穿啊 诶呦呦呦呦， 都把那个新衣服穿呐啊诶呀啊~。 打春到初八呀啊， 新媳妇住妈家呀啊， 带领我那小女婿/我的那个他呀啊， 果子拿两匣呀啊， 丈母娘啊一见面呀啊诶呦呦呦呦诶呦呦啊， 拍手笑哈哈呀啊诶呦呦呦呦， 拍手笑哈哈呀啊诶呀啊~。 姑爷子到咱地家呀啊， 咱给他作点儿啥呀啊， 粉条炖猪肉啊再把那小鸡儿杀/杀了那大芦花呀啊， 小鸡儿呀啊炖蘑菇啊诶呦呦呦呦诶呦呦啊， 我姑爷子最得意它呀啊诶呦呦呦呦， 我姑爷子爱吃它呀啊诶呀啊~。 我姑爷长地俊呀啊， 我女儿赛天仙呀啊， 小俩口多么般配呀啊， 恩爱过百年呐啊/丈母娘心喜欢呀啊， 等到过了二月二/正月二十五啊呀啊诶呦呦呦呦诶呦呦啊， 一起送回还/赶车把家还呐啊诶呦呦呦呦， 一起那个送回还/赶车把家还呐啊诶呀啊~。	东北	小调
12	绣云肩	一更里绣云肩 绣在那正东啊 哎嗨嗨呦 上绣的那个红娘下绣莺莺 再绣上那小张生呐 哎嗨嗨呦 哎嗨嗨呦 再绣上那小张生呐啊 哎嗨嗨呦 二更里绣云肩 绣在那正南啊 哎嗨嗨呦 上绣的那个吕布下绣貂蝉 董卓老贼头眼宽 哎嗨嗨呦 三更里绣云肩 绣在那正西啊 哎嗨嗨呦 上绣的那个牛郎下绣织女 二人相爱七月七呀 哎嗨嗨呦 四更里绣云肩 绣在那正北啊 哎嗨呦 上秀的那个柳迎春下绣薛仁贵 汾河房前戏耍一回 哎嗨嗨呦 五更里绣云肩 绣在那正中啊 哎嗨嗨呦 上绣的那个刘金定下绣高琼 烽火山上卖了花灯 哎嗨嗨呦 哎嗨嗨呦 烽火山上卖了花灯 哎嗨嗨呦	东北	小调
13	丢戒指	"姐呀儿花园中， 丢戒指 丢戒指 绣啊丝呀绒啊， 咦格儿呀儿哟, 来一个蜜蜂儿， 蜇了我的手心儿啊， 甩手丢了金戒指儿， 呀啊嗨哎嗨哟～ music 金戒指儿呀， 不啊是啊值呀钱的宝， 啊咦格呀哦哟～ 那可是我的那个情郎哥儿， 给我买的， 一钱子零三分儿， 呀啊嗨哎嗨哟～ music 要啊是啊老头儿， 捡了去呀咿格呀儿哟～ 请到我的家中啊， 布上酒席儿啊， 我宁愿认个干亲戚儿， 呀哎哎嗨哟～ music 要啊是那小伙呀， 捡了去啊咿格呀咿哟～ 要什么礼物， 我都乐意儿呀， 就是不能～ 拜天地儿。 哎嗨哎嗨哟～"	东北	小调
14	月牙五更	一更啊里呀啊月牙没出来呀啊 貂蝉美女呀啊走下楼来呀 双膝跪在地土尘埃呀啊 烧烧香那个拜拜月呀啊 为的我们那个恩哪恩哪哎了我说恩和爱呀啊 二更啊里呀啊月牙出在正东啊 南堂报号啊名叫高琼啊 呦收下贤妻名叫刘凤英啊 刘小姐呀啊为高郎啊 才得那个相啊相啊哎了我说相思病啊 三更啊里呀啊月牙出在正南啊 韩湘子出家呀啊就在终南山啊 呦手里托着小小的花篮啊 三渡着这个林英女儿 夫妻我们那个得呀啊得呀啊哎了我说得相见啊 四更啊里呀啊月牙出在正西啊 马国母被困啊就在禅宇啊 呦救驾多亏大将伍子胥呀啊 伍子胥呀啊保幼主啊 闯出那个禅哪啊禅哪啊爱了我说禅宇寺呀啊 五更啊里呀啊月牙出在正北啊 张廷秀私访啊名叫回杯呀啊 呦王二小姐雨泪双催呀啊 二小姐呀啊为廷秀啊 落下那个伤啊伤啊哎了我说伤心泪呀啊	东北	小调
15	正对花	正得儿月里开的 本是什么样的花得儿啦 正得儿月里开的 本是迎 迎 迎春花 迎春那得儿花开那得儿 倒比往年大得儿花得儿 小得儿妹妹头上 没 没 没戴花 七不隆冬青上青得儿叶青 八不隆冬红上红得儿花红 得儿赛 得儿赛 得儿腊梅赛得赛 花啦开花啦谢花开十样景 五得儿月里开的本是 什么样的花得儿啦 五得儿月里开的 本是石 石 石榴花 石榴那得儿花开呀得儿 倒比往年大得儿花得儿 小得儿妹妹头上 没 没 没戴花 七不隆冬青上青得儿叶青 八不隆冬红上红得儿花红 得儿赛 得儿赛 得儿腊梅赛得赛 花啦开花啦谢 花开十样景 正得儿月里开的 本是什么样的花得儿啦 正得儿月里开的 本是迎 迎 迎春花 迎春那得儿花开那得儿 倒比往年大得儿花得儿 小得儿妹妹头上 没 没 没戴花 七不隆冬青上青得儿叶青 八不隆冬红上红得儿花红 得儿赛 得儿赛 得儿腊梅赛得赛 花啦开花啦谢花开十样景 五得儿月里开的本是 什么样的花得儿啦 五得儿月里开的 本是石 石 石榴花 石榴那得儿花开呀得儿 倒比往年大得儿花得儿 小得儿妹妹头上 没 没 没戴花 七不隆冬青上青得儿叶青 八不隆冬红上红得儿花红 得儿赛 得儿赛 得儿腊梅赛得赛 花啦开花啦谢 花开十样景 得儿 赛赛赛赛 得儿 赛赛赛赛 花开花谢十样样景	东北	小调
16	小放牛	天上桫椤是什么人栽 地下的黄河是什么人开 什么人把守三关外 什么人出家就没有回来那个咿呀咳 什么人出家就没有回来那个咿呀咳 天上桫椤是王母娘娘栽 地下的黄河是老龙王开 杨六郎把守三关外， 韩湘子出家就没有回来那个咿呀咳 韩湘子出家就没有回来那个咿呀咳  赵州桥（来）什么人修 玉石（的）栏杆什么人留 什么人骑驴桥上走 什么人推车压了一趟沟麻咿呀嘿 什么人推车压了一趟沟麻咿呀嘿 赵州桥（来）鲁班爷爷修 玉石（的）栏杆圣人留 张果老骑驴桥上走 柴王爷推车压了一趟沟麻咿呀嘿 柴王爷推车压了一趟沟麻咿呀嘿  	河北	小调
17	十个字	写了一个一字一趟街  吕蒙正挎篮又去赶斋  张飞提刀卖狗肉  刘备四川卖过草鞋  呀个嘿嘿依呀个嘿  呀个嘿嘿嘿...  呀个嘿...嘿嘿...呀个嘿嘿依个呀嘿  写了一个二字两头平  二十八宿那个数着罗成  虽说他十二年岁小  夜打登州救过秦琼  哼了依个哼哩 哈啦依个哈啦  哼了依个哼哩 哈啦依个哈哩  哈哩嗬 哈哩依个梅花罗里一个梅	河北	小调
18	捡棉花	年年有个七月二十八呀  胡海呀胡海  咱姐妹二人你说要做啥呀  哎呀有了  哎呀有了  去捡棉花呀啊  去捡棉花啊  哎呀有了  哎呀有了  去捡棉花呀啊  去捡棉花啊  大妹子大妹子  有啊  有啊  快把筐来拿呀啊  快把筐来拿呀啊  大妹子大妹子  有啊  有啊  快把筐来拿呀啊  快把筐来拿呀啊  年年有个七月二十八呀  胡海呀胡海  咱姐妹二人你说要做啥呀  哎呀有了  哎呀有了  去捡棉花呀啊  去捡棉花啊  哎呀有了  哎呀有了  去捡棉花呀啊  去捡棉花啊  大妹子大妹子  有啊  有啊  快把筐来拿呀啊  快把筐来拿呀啊  大妹子大妹子  有啊  有啊  快把筐来拿呀啊  快把筐来拿呀啊  快把筐来拿呀啊	河北	小调
19	小白菜	小白菜呀，地里黄呀；三两岁呀，没了娘呀。亲娘呀，亲娘呀！ 跟着爹爹，还好过呀；只怕爹爹，娶后娘呀。亲娘呀，亲娘呀！ 娶了后娘，三年半呀；生个弟弟，比我强呀。亲娘呀，亲娘呀！ 弟弟吃面，我喝汤呀；端起碗来，泪汪汪呀。亲娘呀，亲娘呀！ 亲娘想我，谁知道呀；我思亲娘，在梦中呀。亲娘呀，亲娘呀！ 桃花开花，杏花落呀；想起亲娘，一阵风呀。 亲娘呀，亲娘呀！	河北	小调
