id	name	lyric	region	topic
40	花儿与少年	春季里么就到了这迎春花儿开迎春花儿开年轻轻的咯女儿家呀踩呀么踩青来呀小呀哥哥小呀哥哥呀小呀哥哥小呀哥哥呀拖一把手过来迎春花么就开放呀千呀千里香千呀千里香女儿家的心上呀起呀么起波浪呀小呀哥哥小呀哥哥呀小呀哥哥小呀哥哥呀扯不断情丝长	甘青宁	小调
41	四季歌	春季里么就到了，这水仙花儿开，水呀仙花儿开，年青青个女儿家呀，踩里么踩青来呀，小呀阿哥哥，小呀阿哥哥呀，托一把身过来。夏季里么就到了，这女儿心上焦，女儿心上焦，石榴花个子儿结的，赛过了玛瑙呀，小呀阿哥哥，小呀阿哥哥呀，亲手么摘一颗。秋季里么就到了，这丹桂花儿香，丹桂花儿香，女儿家个心儿上啊，起了个波浪呀，小呀阿哥哥，小呀阿哥哥呀，扯不断情丝长。冬季里么就到了，这雪花满天飞，雪花满天飞，女儿家个心儿里啊，赛过那雪花白呀，小呀阿哥哥，小呀阿哥哥呀，认清了你再来。	甘青宁	小调
42	远看黄河一条线	远看个黄河是一条线呀，近看个黄河是金盏花儿开（呀）海边呀。远看个尕妹是藏金莲呀，近看个尕妹是金盏花儿开（呀）牡丹呀。	甘青宁	小调
43	阿里玛	阿里玛呀，播下的种子是白白的，出来的芽儿是绿绿的，开开的花儿是红红的，结下的果儿是黄黄的，呀呜，撒拉女，才象个阿里玛呀！	甘青宁	小调
44	下四川	一溜溜山，两溜溜山，三溜溜山，脚户哥下了个四川，诶，脚户哥下了个四川。一朵朵云，两朵朵云，三朵朵云雨过天晴出了彩虹，雨过天晴出了彩虹。一阵阵风，两阵阵风，三阵阵风古道上传来了笑声，古道上传来了笑声。一串串铃，两串串铃，三串串铃骑走骡摇了个舒坦，骑走骡摇了个舒坦。	甘青宁	山歌
45	妹妹的山丹花儿开	尕妹妹的个大门上啊浪呀三浪啊 心儿里跳得慌呀 想看我的个尕妹妹的好模样呀 妹妹山丹花儿开呀 听说我的个尕妹妹病哈了啊 阿哥么你莫急坏呀 称上了些冰糖这么看你来呀 妹妹山丹花儿开呀 开不开的个山丹花连根拔上来哎 把把就不松开呀 送给我的个尕妹妹两个鬓尖戴呀 妹妹山丹花儿开呀 我把你哈心疼着我把你就爱哎 生死就不分开呀 一天我这哈三趟着看你来呀 妹妹山丹花儿开呀 一天我这哈三趟着看你来呀 妹妹山丹花儿开呀 一天我这哈三趟着看你来呀 妹妹山丹花儿开呀	甘青宁	小调
46	青溜溜青	青溜溜的青来青溜溜青，青溜溜的果树上果子青；果子好吃树难载，吃果子是忘不了种树的人。青海湖青来青海湖青，青海湖的湖水四季青；青海湖大哟青海湖深，青海湖是好地方哟好地方。	甘青宁	小调
47	刮地风	正月里来是新春呐 青草芽儿往上升 天凭个日月者吗你就人凭个心呐 二月里来春风刮哎 只等天公把雨下 吃土的尕娃们呐你就河沿上跑啊 三月里来三清明呐 桃花不开杏花儿红 过路的蜜蜂儿们你要想好了采呀 四月里来四月八哎 种了豆子种西瓜 田埂上下苦的人你就闲不出手来 五月里来女人们忙哎 庄稼地里熬时光 拔出个杂草者吗你就随心着唱呀 六月里来日子吗长哎 庄稼汉们睡不着 大麦子割罢了是小麦子黄啊 七月里来七月七 牛郎不用多穿衣 织女吗本就不该是你牛郎的妻呀 八月里来月儿圆呐 全家老小都团圆 蒸下个新面馍馍你就炕桌上端呀 九月里来九重阳哎 黄菊花儿开路旁 有心肠摘过来吗你就没心肠戴呀 十月里来寒冷天呐 碌碡磙子团团转 五谷们码成堆了你就仓里头满呀 十一月里冬至节哎 又刮风来又下雪 吃酒的老汉们呐你就门前头过呀 腊月里来日子吗短哎 有钱人们花不完 穷人们刮个头了也要过上个年呐	甘青宁	小调
48	绣金匾	正月里闹元宵，金匾绣开了， 金匾绣咱毛主席，领导的主意高； 一绣毛主席，人民的好福气， 你一心爱我们，我们拥护你！ 二月里刮春风，金匾绣得红， 金匾上绣的是，边区陕甘宁； 二绣陕甘宁，世事多太平， 军和民大团结，大家一条心。 三月里是清明，金匾绣三层， 金匾上绣的是，模范八路军， 三绣八路军，抗战下决心， 对民众多恩情，爱国爱人民。 四月立夏天，金匾绣得宽， 金匾上绣的是，八路军大生产； 四绣军生产，比民忙大半， 夜晚间守警戒，白天务种田。 五月五端阳，金匾绣得亮， 金匾上绣的是，边区老百姓； 五绣老百姓，抗战最热情， 组织起自卫军，打倒小日本。 六月热气腾，金匾绣花云， 金匾上绣的是，民众的劳动； 六绣民劳动，有利有名声， 行行出状元，二流子成英雄。 七月里七月半，金匾绣得宽， 金匾上绣的是，妇女的生产； 七绣女生产，织布又纺线， 加入识字组，要当女状元。 八月里八月半，金匾绣得圆， 金匾上绣的是，边区合家欢； 八绣好家常，卫生身体强， 全家人都和气，民主好商量。 九月里九重阳，金匾绣得长， 金匾上绣的是，移民上天堂； 九绣难民来，政府好优待， 老户们帮助他，吃用有办法。 冬里天气寒，金匾十绣全， 金匾上绣的是，政府恩情宽； 政府恩情宽，冬学到处办， 有吃有穿有文化，快活过新年。	甘青宁	小调
49	半个月亮爬上来	半个月亮爬上来咿啦啦爬上来照着我的姑娘梳妆台咿啦啦梳妆台请你把那纱窗快打开咿啦啦快打开为什么我的姑娘不出来咿啦啦不出来半个月亮爬上来咿啦啦爬上来半个月亮爬上来咿啦啦爬上来半个月亮爬上来咿啦啦爬上来照着我的姑娘梳妆台咿啦啦梳妆台请你把那纱窗快打开咿啦啦快打开再把你那玫瑰摘一朵轻轻的扔下来半个月亮爬上来咿啦啦爬上来半个月亮爬上来咿啦啦爬上来	甘青宁	小调
50	数花	沙枣子花开呀 呦哎嗨呦 哎香天下 塞上江南好宁夏 嗯哎 哎嗨哟 东有黄河一条龙呀 西有贺兰山宝疙瘩 中间是个米粮川呀 沙枣子花儿开呀 呦哎嗨呦 花儿开 花开人人夸 哎呦 马莲花开哎 呦哎嗨呦 哎蓝瓦瓦 宁夏山川美如画 嗯哎 哎嗨哟 凤凰展翅正腾飞呀 银川古城放光华 城乡面貌日日新呀 马莲花开呀 呦哎嗨呦 花儿开 花开在宁夏 哎呦 枸纪子红 红彤彤 二毛子白 白生生 甘草发菜乌金滚 五宝特产爱死个人 宁东能源一条龙 西部明珠亮晶晶 梆子声声新月弯 花儿飞遍山旮旯 西夏王陵千古谜 承天大寺海宝塔 瀚海奇观沙坡头 西湖美景富甲天下 甲天下 胡麻子花开哎 呦哎嗨呦 哎一片蓝 鱼米之乡美名传 哎嗨哟 稻谷飘香美灿灿呀 牛羊肥壮瓜果甜 物资富饶遍地宝呀 幸福的花儿开哎 呦哎嗨呦 花儿开 花开满山川 哎呦 牡丹花儿开哎 呦哎嗨呦 哎红艳艳 回汉人民同心干 嗯哎 哎嗨哟 手拉手来肩并肩呀 共同建设好家园 遍地花开遍地歌呀 团结的花儿开哎 呦哎嗨呦 花儿开 花开万万年 哎呦 麦子黄 黄澄澄 蔬菜绿 绿茵茵 西夏贡米圆滚滚 煮上干饭香喷喷 馒头开花笼上搭 咧开嘴巴笑盈盈 还有那西瓜 冬瓜 黄瓜 南瓜 香瓜 甜瓜 茭瓜 面瓜 多的叫不上个名 黄豆 黑豆 花豆 绿豆 豌豆 蚕豆 豇豆 梅豆 数也数不清 数不清 花儿开 花开万万年 哎呦	甘青宁	小调
51	脚户令	脚夫哥下了的个四川 脚你踩的个上 大路哟 噢哟心哟 我想着 心想着你啊 喝油也不长的个肉了 噢哟哟啊 喝油也不长的个肉了 噢哟哟 噢哟哟 喝油也不长的个肉了 啊	甘青宁	山歌
52	东方红	东方红，太阳升，中国出了个毛泽东 他为人民谋幸福，呼儿嗨哟，他是人民大救星 他为人民谋幸福，呼儿嗨哟，他是人民大救星 毛主席，爱人民，他是我们的带路人 为了建设新中国，呼儿嗨哟，领导我们向前进 为了建设新中国，呼儿嗨哟，领导我们向前进 共产党 ，像太阳，照到哪里哪里亮 哪里有了共产党，呼儿嗨哟，哪里人民得解放 哪里有了共产党，呼儿嗨哟，哪里人民得解放 东方红，太阳升，中国出了个毛泽东 他为人民谋幸福，呼儿嗨哟，他是人民大救星 他为人民谋幸福，呼儿嗨哟，他是人民大救星，大救星	陕西	其他
53	知道不知道	山清水秀太阳高，好呀么好风飘， 小小船儿撑过来，它一路摇呀摇， 为了那心上人， 起呀么起的早， 也不管呀路迢迢，我情愿多辛劳。 山清水秀太阳高，好呀么好风飘， 一心想着他呀他，我想得真心焦， 为了那心上人， 睡呀么睡不着， 我只怕呀找不到，那叫我怎么好。 山清水秀太阳高，好呀么好风飘， 三步两脚跑呀跑，快赶到土地庙， 我情愿陪着他， 陪呀么陪到老， 除了他呀都不要，他知道不知道。	陕西	小调
54	兰花花	青线线（那个）蓝线线，蓝格英英（的）彩，生下一个兰花花，实实的爱死人。 五谷里（那个）田苗子，数上高粱高，一十三省的女儿（呦），就数（那个）兰花花好。 正月里（那个）那个说媒，二月里订，三月里交大钱，四月里迎。 三班子（那个）吹来，两班子打，撇下我的情哥哥，抬进了周家。 兰花花我下轿来，东望西照，照见周家的猴老子，好像一座坟。 你要死来你早早的死，前晌你死来后晌我兰花花走。 手提上（那个）羊肉怀里揣上糕，拼上性命我往哥哥家里跑。 我见到我的情哥哥有说不完的话，咱们俩死活呦长在一搭。	陕西	小调
55	三十里铺	提起（个）家来家有名 家住在绥德三十里铺村 四妹子爱见（那）三哥哥 他是我的知心人 三十里铺来遇大路 戏楼拆了修马路 三哥哥今年一十九 咱们二人没盛够 三哥哥今年一十九 四妹子今年一十六 人人说咱二人天配就 你把妹妹闪在半路口 叫一声凤英不要哭 三哥哥走了回来哩 有什么话儿你对我说 心里不要害急 洗了（个）手来和白面 三哥哥吃了上前线 任务落在（那）定边县 三年二年不得见面 三哥哥当兵坡坡里下 四妹子碱畔上灰不塌 塌有心拉上两句话 又怕人笑话	陕西	小调
56	绣荷包	初一到十五 十五月儿高 那春风摆动杨呀杨柳梢 三月桃花开 情人捎书来 捎书书带信儿 要一个荷包袋 一绣一只船 船上撑着帆 里面的意思郎呀你去猜 哎 郎呀你去猜 哎 我的情郎哥 二绣穿子莲 三绣凤阳花 一对对牡丹绣两旁 四绣鸳鸯鸟 栖息在河边 你依依我靠靠永远不分开 我的情郎哥 荷包绣成了 捎给我情郎哥戴呀 金呀锁 银呀锁 金锁银锁琉兰锁 杨柳锁 得拉拉哈 得拉拉哈 得拉拉哈 哟呀哟 情郎哥你要早回来 你要早回来	陕西	小调
57	赶牲灵	走头头的那个骡子哟哦 　　三盏盏的那个灯 　　哎呀带上的那个铃子哟 　　噢哇哇得的那个声 　　 　　白脖子的那个哈巴哟哦 　　朝南得的那个呀 　　哎呀赶牲灵的那人儿哟 　　噢 过呀来了 　　你若是我的哥哥/妹妹儿哟 　　招一招你的那个手 　　你不是我那哥哥/妹妹哟 　　走你得的那个路 　　 　　走头头的那个骡子哟哦 　　三盏盏的那个灯 　　哎呀带上了那个铃子哟 　　噢哇哇得的那个声 　　你若是我的哥哥/妹妹儿哟 　　招一招你的那个手 　　你不是我那哥哥/妹妹哟 　　走你得的那个路 　　你若是我的哥哥/妹妹儿哟 　　招一招你的那个手 　　你不是我那哥哥/妹妹哟 　　走你得的那个路	陕西	山歌
58	走西口	哥哥你走西口，小妹妹我实在难留，手拉着哥哥的手，送哥送到大门口。 哥哥你出村口，小妹妹我有句话儿留，走路走那大路的口，人马多来解忧愁。 紧紧地拉着哥哥的袖，汪汪的泪水肚里流，只恨妹妹我不能跟你一起走，只盼哥哥你早回家门口。 哥哥你走西口，小妹妹我苦在心头，这一走要去多少时候，盼你也要白了头。 紧紧地拉住哥哥的袖，汪汪的泪水肚里流，虽有千言万语难叫你回头，只盼哥哥你早回家门口。	山西	小调
59	山丹丹花开红艳艳	一道道的那个山来呦 一道道水 咱们中央红军到陕北 咱们中央红军到陕北 一杆杆的那个红旗哟 一杆杆枪 咱们的队伍势力壮 咱们的队伍势力壮 （1）千家万户 哎咳哎咳呦 把门开 哎咳哎咳呦 快把咱亲人迎进来 咿儿呀儿来吧呦 （2）热腾腾的油糕哎咳哎咳呦 摆上桌 哎咳哎咳哟 滚滚的米酒捧给亲人喝 咿儿呀儿来吧哟 （3）围定亲人 哎咳哎咳哟 热炕上坐 哎咳哎咳哟 知心的话儿飞出心窝窝 咿儿呀儿来吧哟 （4）满天的乌云 哎咳哎咳哟 风吹散 咳哎咳哟 毛主席来了晴了天晴呀晴了天 毛主席来了晴了天 晴呀晴了天 千里的那个雷声哟 万里的闪 咱们革命的力量大发展 咱们革命的力量大发展 山丹丹的那个开花哟 红艳艳 毛主席领导咱打江山 山丹丹的那个开花哟 红艳艳 毛主席领导咱打江山 毛主席领导咱打江山	陕西	其他
60	五哥放羊	正月格里正月正 正月那个十五挂上红灯 红灯那个挂在哎大来门外 单那个等我五那个哥他上工来 哎哟 哎哎哎哟 哎哎哎哎咳哟 单那个等我五那个哥他上工来 六月格里二十三 五哥那个放羊在草滩 头戴那个草帽那个身披蓑衣 怀来中又抱着那个放羊的铲 哎哟 哎哎哎哟 哎哎哎哎咳哟 怀来中又抱着那个放羊的铲 九月格里秋风凉 五哥那个放羊没有衣裳 小妹妹我有件哎哎小来袄袄 改来一改领那个口 你里边儿穿上 十二月一年满 五哥他放羊转回家园 有朝那个一日哎哎天来睁眼 我来与我五那个哥把婚完 哎哟 哎哎哎哟 哎哎哎哎咳哟 我来与我五那个哥把婚完 哎哟 哎哎哎哟 哎哎哎哎咳哟 我来与我五那个哥把婚完	山西	小调
61	想亲亲	想亲亲想得俄手腕腕软 呀呼咳 拿起个筷子俄端不起个碗 呀尔吆 想亲亲想得俄心花花乱 呀呼咳 呀呼咳 煮饺子俄下了一锅山药那个蛋 呀尔吆 呀尔吆 头一回瞄妹妹你不在 呀呼咳 你妈妈劈头打了俄两锅盖 呀尔吆 想亲亲想得俄心花花乱 呀呼咳 呀呼咳 三天俄不吃下一口口饭 呀尔吆 呀尔吆 茴子白卷心心十八那个层 呀呼咳 呀呼咳 妹子你爱不爱受苦的那个人 呀尔吆 呀尔吆 妹子你爱不爱受苦的那个人 呀尔吆 呀尔吆	山西	小调
62	打酸枣	这一山山望见了那一山山高啊么得儿伊儿呦呦呦呦那山上那酸枣得儿酸枣长呀么长得好哎啊么得伊儿呦叫一声那哥哥快呀么快点走啊么得伊儿呦呦呦呦掂上你那篮篮得儿篮篮咱们就去打酸枣哎啊么得伊儿呦红红的那酸枣枣山坡坡上长我和我那哥哥去打酸枣妹妹那有情哥哥那也有意全村村挑人就数哥哥你翻过一道那圪梁梁跨过一道道沟啊么得伊儿呦呦呦呦哥哥你不要心跳得儿心跳你拉住那妹妹的手哎啊么得伊儿呦叫一声那哥哥你快呀么快些走啊么得伊儿呦呦呦呦哥哥你就打来得儿打来妹妹我快点捡哎啊么得伊儿呦妹妹我快点捡哎啊么得伊儿呦	山西	小调
63	交城山	交城的山来交城的水 不浇那个交城它浇了文水 交城的山里没有那好茶饭 只有莜面烤酪酪还有那山药蛋 灰毛驴驴上山灰毛驴驴下 一辈子也没坐过那好车马 如今的交城山交城的水 浇了那个交城它浇文水 交城的山里有的是好茶饭 大米白面玉茭子还有那山药蛋 汽车那个上来马车那个下 如今咱们坐的都是那好车马 嗳嗨嗳嗨嗳嗨哟 嗳嗨嗳嗨 哟	山西	小调
64	圪梁梁	对坝坝那个圪梁梁上那是一个谁，那就是（那个）扬名的二啦妹妹；那山上长着呀十个样样（这）草，作者杨仲青近照作者杨仲青近照十样样我（那）看上妹子九样样好；满天天（那个）星星呀一颗颗（那）明，满村村（那个）挑中妹妹你一个人；一对对（那个）喜鹊呀绕天飞，好比是（那个）哥哥（呀）和妹妹；哥哥我在（那）圪梁梁上（呀）妹妹你在（那）沟，心事你要是对了妹子你就摆摆手。	山西	小调
65	东山上点灯西山上明	东山上点灯西山上明 一马马平川亲妹子不见人 你在你家里得病我在我家里闷 称上梨儿亲妹子送不上门 想亲亲想的我直愣愣神 你身上那个得病呀 亲妹子 我心上疼 人面前想你哈哈哈哈哈笑 人背后想你亲妹子泪蛋蛋抛 人背后想你亲妹子泪蛋蛋抛	山西	山歌
66	揽工歌	揽工人儿难，哎呀，揽工人儿难，正月里上工十二月满，受的是牛马苦，吃的是猪狗饭。……着不得下雨，哎呀，着不得刮风，刮风不雨不得安身，若要安身呀，等得人睡定。等得人睡定，哎呀，半夜二三更，掌柜在房里连叫几声，“咱家黑洞洞，***说天大明。”打开后门，哎呀，安顿后人，子子孙孙再不要揽工，既是要揽工，死罪只受尽。	陕西	小调
67	光棍哭妻	正月里来锣鼓响，想起我的妻儿好恓惶， 年年月月是同床睡，不晓得妻儿你在哪哒里？（在哪哒里？） 二月里来刮春风，妻儿丢下两条根， 生意买卖停搁定，对对的儿女谁照应？（孩儿的妈妈哟!） 三月里来是清明，家家户户去上坟， 人家上坟成双对，可怜我光棍谁心疼？（孩儿的妈妈哟！） 光棍头前把路行，对对儿女随后跟， 洒的烧酒地皮湿，烧下的纸灰乱风绕（孩儿的妈妈哟！） 四月里来四月八，孩儿送在外婆家， 外婆外爷同安顿，无娘的孩儿外婆外爷您心疼（孩儿的妈妈哟！）（孩儿的妈妈哟！）	陕西	小调
68	船夫曲	你晓得天下黄河几十几道湾哎？ 几十几道湾上有几十几只船哎？ 几十几只船上有几十几根杆哎？ 几十几个艄公哟嗬来把船儿搬？ 我晓得天下黄河九十九道湾哎！ 九十九道湾上有九十九只船哎！ 九十九只船上有九十九根杆哎！ 九十九个艄公哟嗬来把船儿搬。	陕西	号子
69	刨洋芋	"土溜溜的蚂蚱满呀么满地爬举起那个镢头来呀来把洋芋刨一镢头那下去翻过来瞧一瞧哟,这么大的个儿哎哟你说妙不妙"	陕西	小调
70	放羊调	依嗨哟 正月的茶花红又红 老羊吃草肚儿大 那里肚来 小羊咪咪么啰里啰 三月放羊么啰里啰 依嗨哟 三月的百草青又青 羊儿吃草么肚儿大 那里肚来 骠又骠来么啰里啰 骠又骠来么啰里啰	陕西	小调
71	沂蒙山小调	人人那个都说哎沂蒙山好，沂蒙那个山上哎 好风光。青山那个绿水哎 多好看，风吹那个草低哎 见牛羊。高粱那个红来哎 豆花香，万担那个谷子哎 堆满场。咱们的共产党哎 领导好，沂蒙山的人民哎 喜洋洋。	山东	小调
72	黄河硪号	咦哟，咦哟嗨哟嗨嗨，一条大河，嗨呀嗨嗨……嗨呀——咦嗨吆！嗨呀——嗨嗨嗨呀！齐心吆，努力吆！吆嗨咿嗨吆嗨吆！都拉起来吆！吆嗨咿嗨吆嗨吆！把硪抬吆！嗨吆嗨吆！	山东	号子
73	包楞调	月亮地儿那个出来了，白楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞，太阳来出来了一点红，葵花朵朵向太阳，条条那个道路放光明，大姐来哎唱罢了紧那个包楞姐来，送给二姐紧那个包楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞 ……棉花桃那个开花来，白楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞。高粱来结籽来遍地儿红，粮棉丰收好年景，家家户户挂红灯，楞楞楞 ……一对对那个飞鸽来，白楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞。百花来开放来万紫千红，五谷丰登好收成，万众来个奔向锦绣前程楞楞楞。二姐来唱罢了，紧那个包楞姐，送给大家紧那个包楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞楞 ……	山东	小调
74	摘石榴	女： 姐在南园摘石榴 哪一个讨债鬼隔墙砸砖头 刚刚巧巧砸在了小奴家的头哟 要吃石榴你拿了两个去 要想谈心你随我上高楼 何必隔墙砸我一砖头哟 呀儿哟 呀儿哟 依得依得呀儿哟 何必隔墙砸我一砖头哟 男： 一不吃你的石榴我二也不上楼 谈心怎么能到你的家里头 砸砖头为的是约你去溜溜哟 女： 昨个天个我为你挨了一顿打 今个天我为你又挨一顿骂 挨打受骂都为你小冤家哟 呀儿哟 呀儿哟 依得依得呀儿哟 挨打受骂都为你小冤家哟 男： 听说你挨骂我心难受 妹妹挨打如割我的肉 你不如跟我一道去下扬州哟 女：听说下扬州正中我心头 打一个包袱我就跟你一道走 一下扬州再也不回头 合： 呀儿哟 呀儿哟 依得依得呀儿哟 一下扬州再也不回头哟 一下扬州再也不回头哟 呀儿哟 呀儿哟 依得依得呀儿哟 一下扬州再也不回头哟 一下扬州再也不回头哟	安徽	小调
75	对花谜	打的打金鼓呀 钓的钓金台呀 三哥哥呀 叫个怎的 我打个花谜子你猜猜 打到来你就放躁些 姑嫂二人门前站哪 思呀 想呀 思思么想想又猜猜呀 此花名字倒叫 此花名字倒叫 是什么花儿开呀 小妹子呀 叫个怎的 你这个花谜子我可晓得 晓得晓得 到晓得呀 你讲出来呀怎不好些 姑嫂二人门前站呀 思呀 想呀 思思么想想又猜猜呀 此花名字倒叫 此花名字倒叫 是望春花儿开呀 望春花儿开呀 一字也不错呀 二字也不差呀 你真是猜花的老行哎家呀 小妹子呀 叫个怎的 我打个花谜你猜猜 打到来些你就放躁些 哥哥打伞妹戴花呀 思呀 想呀 思思么想想又猜猜呀 此花名字倒叫 此花名字倒叫 是什么花儿开呀 三哥哥呃 叫个怎的 你这个花谜子我晓得 晓得晓得 到晓得呀 你讲出来呀怎不好些 哥哥打伞妹戴花呀 思呀 想呀 思思么想想又猜猜呀 此花名字倒叫 此花名字倒叫 是莲蓬花儿开呀 莲蓬花儿开呀 一字也不错呀 二字也不差呀 你真是猜花的老行哎家呀 你真是猜花的老行哎家呀	安徽	小调
76	八月桂花遍地开	八月桂花遍地开，鲜红的旗帜竖起来，张灯又结彩呀，张灯又结彩呀，光辉灿烂闪出新世界。亲爱的工友们呀啊，亲爱的民友们呀啊，唱一曲国际歌，庆祝苏维埃。站在革命的前线，不怕牺牲冲向前，为的是政权呀啊，为的是政权呀啊，工农专政如今以实现，亲爱的工友们呀啊，亲爱的工民友们呀啊，今日里是我们，解放的一天。领导群众数千万，跳出地狱鬼门关，不在受摧残呀啊，不在受摧残呀啊，封建制度彻底要推翻，亲爱的工友们呀啊，亲爱的工民友们呀啊，封建制度，一定要推翻。完成民主革命，反动势力要肃清，团结向前进呀啊，团结向前进呀啊，政府就是我们的家庭，亲爱的工友们呀啊，亲爱的民友们呀啊，把阶级消失净，才能享太平。	安徽	其他
77	凤阳调	左手锣　右手鼓 手拿着锣鼓来唱歌 别的歌儿我也不会唱 单会唱个凤阳歌 凤凤阳鼓啊　咿呀哎呦 得儿铛铛飘一飘 得儿铛铛飘一飘 得儿飘　得儿飘 得儿飘　得儿飘飘飘一飘 得儿飘飘飘一飘 我命苦　真命苦 一生一世讨不着好老婆 人家的老婆如花又如玉 我家老婆一双大花脚 量量一尺多　咿呀哎呦 得儿铛铛飘一飘 得儿铛铛飘一飘 得儿飘　得儿飘 得儿飘　得儿飘飘飘一飘 得儿飘飘飘一飘 我命苦　真命薄 一生一世嫁不得好丈夫 人家的丈夫做官又做府 我家的丈夫单会打花鼓 打打花鼓啊　咿呀哎呦 得儿铛铛飘一飘 得儿铛铛飘一飘 得儿飘　得儿飘 得儿飘　得儿飘飘飘一飘 得儿飘飘飘一飘	安徽	小调
78	编花篮	编编编花篮编个花篮上南山南山开满红牡丹朵朵花儿开得艳银个丹丹银牡丹银牡丹那个哪哈依呀嗨摘摘摘牡丹三朵两朵摘一篮牡丹花儿多娇艳姑娘见了好喜欢哎嗨哎嗨好喜欢五彩缤纷齐争艳齐争艳那个哪哈依呀嗨编编编花篮编个花篮上南山南山开满红牡丹朵朵花儿开得艳银个丹丹银牡丹银牡丹那个哪哈依呀嗨摘摘摘牡丹三朵两朵摘一篮牡丹花儿多娇艳姑娘见了好喜欢哎嗨哎嗨好喜欢五彩缤纷齐争艳齐争艳那个哪哈依呀嗨	河南	小调
79	卖扁食	梳洗呀 打扮呐 点胭脂啊 手提瓦罐卖扁食 走进了东城门呐啊 哎嗨哟 走进了东城门呐啊 大喊呐 三声啊 卖扁食啊 惊动了一街两行人儿呀 都来吃扁食啊 哎嗨哟 都来吃扁食啊 卖扁食喽 大妹子 扁食啥馅儿啊 葱花儿啊 姜丝儿啊 鸡蛋丝儿啊 内有佐料肉疙丁儿 吃着香喷喷儿啊 哎嗨哟 吃着香喷喷儿啊 大妹子 扁食啥价钱呐 从前呐 卖的呀 俩钱仨呀 如今卖的是一个半呐 还是老价钱呐啊 哎嗨哟 还是老价钱呐啊 梳洗呀 打扮呐 点胭脂啊 手提瓦罐卖扁食 走进了东城门呐 哎嗨哟 走进了东城门呐 哎嗨	河南	小调
80	绣荷包	正月（哟嗬哟嗬）里来（哟嗬哟嗬）闹（呃）元（咧）宵（哇呀嗬咳），见一位大姐绣（呃）荷包，绣一个锦绣山（啦）河好（哇嗬咳），（呃咳咳哟嗬哟嗬）绣一个锦绣山（啦）河好（哇嗬咳）。二月（哟嗬哟嗬）里来（哟嗬哟嗬）百（呃）花笑（哇呀嗬咳），缎子里荷包绣（呃）起来，绣一个红花遍（啦）地开（呀嗬咳），（呃咳咳哟嗬哟嗬）绣一个红花遍（啦）地开（呀嗬咳）。三月（哟嗬哟嗬）里来（哟嗬哟嗬）是（呃）清（咧）明（啦呀嗬咳），缎子里荷包绣（呃）几针，绣一个长江万（啦）年春（啦嗬咳），（呃咳咳哟嗬哟嗬）绣一个长江万（啦）年春（啦嗬咳）。	湖北	小调
81	龙船调	正月里是新年 哪咿哟喂 妹娃儿我去拜年哪喂 咿哟喂 哟喂 咿哟喂 哟喂 哟喂 哟喂哟喂 哟喂哟喂 哟喂 哟喂 哟喂 哟喂 哟喂 正月里是新年 哪咿哟喂 妹娃儿我去拜年哪喂 金那银儿锁 银那银儿锁 阳雀叫哇抱着 恩那哥哇抱着恩那哥 妹娃要过河是哪个来推我嘛 我就来推你嘛 梢公你把舵扳哪 妹娃我上了船 喔活喂呀佐 喔活喂呀佐 将妹娃儿推过河哟 哟喂 二月里是春分哪咿哟喂 妹娃儿我去探亲哪喂 金那银儿锁 银那银儿锁 阳雀叫哇抱着 恩那哥哇抱着恩那哥 妹娃要过河是哪个来推我嘛 还不是我来推你吗 梢公你把舵扳哪 妹娃我上了船 喔活喂呀佐 喔活喂呀佐 将妹娃儿推过河哟 呵喂 正月里是新年 哪咿哟喂 妹娃儿去拜年哪喂 金那银儿锁 银那银儿锁 阳雀叫哇抱着 恩那哥哇抱着恩那哥 妹娃要过河是哪个来推我嘛 我来 我来推你嘛 还是我来推你吗 梢公你把舵扳哪 妹娃我上了船 喔活喂呀佐 喔活喂呀佐 将妹娃儿推过河哟 呵喂 二月里是春分哪咿哟喂 妹娃儿我去探亲哪喂 金那银儿锁 银那银儿锁 阳雀叫哇抱着恩 那哥哇抱着恩那哥 妹娃要过河是 哪个来推我嘛 我来推你嘛 梢公你把舵扳哪 妹娃我上了船 喔活喂呀佐 喔活喂呀佐 将娃妹儿推过河哟 呵喂 喔活喂呀佐 喔活喂呀佐 将娃妹儿推过河哟 呵喂	湖北	山歌
82	哪里有闲空回娘家	油菜开花黄啊黄呀儿哟爹爹接我回娘家呀啊只因地里忙生产我哪有闲空送人哪呦秧苗发芽青啊哟青呀儿哟妹妹接我去呀送亲呀啊栽秧割麦两头忙我哪有闲空去送哪亲呀儿哟栽秧割麦两头忙我哪有闲空去送哪亲呀儿哟满田的棉花白呀又白呦哥哥接我去呀做客呀白天黑夜忙摘棉我哪有闲工回家呀玩呀告诉我的爹呀告诉我的妈呀不是姑娘不想呀家呀等到今年丰收了带着喜讯看爹呀妈呀呦等到今年丰收了带着喜讯看爹呀妈呀呦	湖北	小调
